disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16,symptom_17,temperature,recommendation,symptoms
GERD,stomach_pain,acidity,vomiting,cough,chest_pain,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Eat smaller meals, avoid lying down right after eating, and cut back on spicy/fatty foods, caffeine, and alcohol. Elevate the head of the bed. See a doctor if symptoms persist despite lifestyle changes or if you have difficulty swallowing.","stomach_pain,acidity,vomiting,cough,chest_pain"
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Eat smaller meals, avoid lying down right after eating, and cut back on spicy/fatty foods, caffeine, and alcohol. Elevate the head of the bed. See a doctor if symptoms persist despite lifestyle changes or if you have difficulty swallowing.","stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain"
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Eat smaller meals, avoid lying down right after eating, and cut back on spicy/fatty foods, caffeine, and alcohol. Elevate the head of the bed. See a doctor if symptoms persist despite lifestyle changes or if you have difficulty swallowing.","stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain"
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Eat smaller meals, avoid lying down right after eating, and cut back on spicy/fatty foods, caffeine, and alcohol. Elevate the head of the bed. See a doctor if symptoms persist despite lifestyle changes or if you have difficulty swallowing.","stomach_pain,acidity,ulcers_on_tongue,vomiting,cough"
GERD,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Eat smaller meals, avoid lying down right after eating, and cut back on spicy/fatty foods, caffeine, and alcohol. Elevate the head of the bed. See a doctor if symptoms persist despite lifestyle changes or if you have difficulty swallowing.","acidity,ulcers_on_tongue,vomiting,cough,chest_pain"
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This involves reduced bile flow and needs medical evaluation (liver function tests, imaging). Avoid alcohol and unnecessary medications that stress the liver. Consult a hepatologist/gastroenterologist promptly for diagnosis and management.","itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This involves reduced bile flow and needs medical evaluation (liver function tests, imaging). Avoid alcohol and unnecessary medications that stress the liver. Consult a hepatologist/gastroenterologist promptly for diagnosis and management.","vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This involves reduced bile flow and needs medical evaluation (liver function tests, imaging). Avoid alcohol and unnecessary medications that stress the liver. Consult a hepatologist/gastroenterologist promptly for diagnosis and management.","itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This involves reduced bile flow and needs medical evaluation (liver function tests, imaging). Avoid alcohol and unnecessary medications that stress the liver. Consult a hepatologist/gastroenterologist promptly for diagnosis and management.","itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This involves reduced bile flow and needs medical evaluation (liver function tests, imaging). Avoid alcohol and unnecessary medications that stress the liver. Consult a hepatologist/gastroenterologist promptly for diagnosis and management.","itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This involves reduced bile flow and needs medical evaluation (liver function tests, imaging). Avoid alcohol and unnecessary medications that stress the liver. Consult a hepatologist/gastroenterologist promptly for diagnosis and management.","itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes"
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This involves reduced bile flow and needs medical evaluation (liver function tests, imaging). Avoid alcohol and unnecessary medications that stress the liver. Consult a hepatologist/gastroenterologist promptly for diagnosis and management.","itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes"
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This involves reduced bile flow and needs medical evaluation (liver function tests, imaging). Avoid alcohol and unnecessary medications that stress the liver. Consult a hepatologist/gastroenterologist promptly for diagnosis and management.","itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain"
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,36.5-39°C / 97.7-102.2°F,"Stop the suspected medication and consult a doctor before restarting any drug. Note down the medication for future reference to avoid re-exposure. Seek emergency care if there is swelling, breathing difficulty, or widespread rash.","itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination"
Drug Reaction,itching,stomach_pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,,36.5-39°C / 97.7-102.2°F,"Stop the suspected medication and consult a doctor before restarting any drug. Note down the medication for future reference to avoid re-exposure. Seek emergency care if there is swelling, breathing difficulty, or widespread rash.","itching,stomach_pain,burning_micturition,spotting_ urination"
Drug Reaction,itching,skin_rash,burning_micturition,spotting_ urination,,,,,,,,,,,,,,36.5-39°C / 97.7-102.2°F,"Stop the suspected medication and consult a doctor before restarting any drug. Note down the medication for future reference to avoid re-exposure. Seek emergency care if there is swelling, breathing difficulty, or widespread rash.","itching,skin_rash,burning_micturition,spotting_ urination"
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination,,,,,,,,,,,,,,36.5-39°C / 97.7-102.2°F,"Stop the suspected medication and consult a doctor before restarting any drug. Note down the medication for future reference to avoid re-exposure. Seek emergency care if there is swelling, breathing difficulty, or widespread rash.","itching,skin_rash,stomach_pain,spotting_ urination"
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,,,,,,,,,,,,,,36.5-39°C / 97.7-102.2°F,"Stop the suspected medication and consult a doctor before restarting any drug. Note down the medication for future reference to avoid re-exposure. Seek emergency care if there is swelling, breathing difficulty, or widespread rash.","itching,skin_rash,stomach_pain,burning_micturition"
Drug Reaction,skin_rash,stomach_pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,,36.5-39°C / 97.7-102.2°F,"Stop the suspected medication and consult a doctor before restarting any drug. Note down the medication for future reference to avoid re-exposure. Seek emergency care if there is swelling, breathing difficulty, or widespread rash.","skin_rash,stomach_pain,burning_micturition,spotting_ urination"
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid NSAIDs, alcohol, and smoking, which worsen ulcers. Eat regular, smaller meals. See a doctor for testing (e.g., for H. pylori) and treatment; seek urgent care for black stools or vomiting blood.","vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid NSAIDs, alcohol, and smoking, which worsen ulcers. Eat regular, smaller meals. See a doctor for testing (e.g., for H. pylori) and treatment; seek urgent care for black stools or vomiting blood.","vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching"
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid NSAIDs, alcohol, and smoking, which worsen ulcers. Eat regular, smaller meals. See a doctor for testing (e.g., for H. pylori) and treatment; seek urgent care for black stools or vomiting blood.","indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid NSAIDs, alcohol, and smoking, which worsen ulcers. Eat regular, smaller meals. See a doctor for testing (e.g., for H. pylori) and treatment; seek urgent care for black stools or vomiting blood.","vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching"
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid NSAIDs, alcohol, and smoking, which worsen ulcers. Eat regular, smaller meals. See a doctor for testing (e.g., for H. pylori) and treatment; seek urgent care for black stools or vomiting blood.","vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching"
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid NSAIDs, alcohol, and smoking, which worsen ulcers. Eat regular, smaller meals. See a doctor for testing (e.g., for H. pylori) and treatment; seek urgent care for black stools or vomiting blood.","vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases"
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid NSAIDs, alcohol, and smoking, which worsen ulcers. Eat regular, smaller meals. See a doctor for testing (e.g., for H. pylori) and treatment; seek urgent care for black stools or vomiting blood.","vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,37.5-40°C / 99.5-104°F,"This requires specialist medical care, including confirmatory testing and antiretroviral therapy (ART). Practice safe sex, avoid sharing needles, and maintain regular follow-up with an infectious disease specialist.","muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts"
AIDS,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,,37.5-40°C / 99.5-104°F,"This requires specialist medical care, including confirmatory testing and antiretroviral therapy (ART). Practice safe sex, avoid sharing needles, and maintain regular follow-up with an infectious disease specialist.","patches_in_throat,high_fever,extra_marital_contacts"
AIDS,muscle_wasting,high_fever,extra_marital_contacts,,,,,,,,,,,,,,,37.5-40°C / 99.5-104°F,"This requires specialist medical care, including confirmatory testing and antiretroviral therapy (ART). Practice safe sex, avoid sharing needles, and maintain regular follow-up with an infectious disease specialist.","muscle_wasting,high_fever,extra_marital_contacts"
AIDS,muscle_wasting,patches_in_throat,extra_marital_contacts,,,,,,,,,,,,,,,37.5-40°C / 99.5-104°F,"This requires specialist medical care, including confirmatory testing and antiretroviral therapy (ART). Practice safe sex, avoid sharing needles, and maintain regular follow-up with an infectious disease specialist.","muscle_wasting,patches_in_throat,extra_marital_contacts"
AIDS,muscle_wasting,patches_in_throat,high_fever,,,,,,,,,,,,,,,37.5-40°C / 99.5-104°F,"This requires specialist medical care, including confirmatory testing and antiretroviral therapy (ART). Practice safe sex, avoid sharing needles, and maintain regular follow-up with an infectious disease specialist.","muscle_wasting,patches_in_throat,high_fever"
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,36.1-37.2°C / 97-99°F,"Monitor blood glucose as directed, follow the prescribed meal and medication plan, stay active as advised, and seek care for very high or low glucose or warning symptoms.","fatigue,polyuria,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite"
Diabetes,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,36.1-37.2°C / 97-99°F,"Monitor blood glucose as directed, follow the prescribed meal and medication plan, stay active as advised, and seek care for very high or low glucose or warning symptoms.","weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
Diabetes,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,36.1-37.2°C / 97-99°F,"Monitor blood glucose as directed, follow the prescribed meal and medication plan, stay active as advised, and seek care for very high or low glucose or warning symptoms.","fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
Diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,36.1-37.2°C / 97-99°F,"Monitor blood glucose as directed, follow the prescribed meal and medication plan, stay active as advised, and seek care for very high or low glucose or warning symptoms.","fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
Diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,36.1-37.2°C / 97-99°F,"Monitor blood glucose as directed, follow the prescribed meal and medication plan, stay active as advised, and seek care for very high or low glucose or warning symptoms.","fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
Diabetes,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,36.1-37.2°C / 97-99°F,"Monitor blood glucose as directed, follow the prescribed meal and medication plan, stay active as advised, and seek care for very high or low glucose or warning symptoms.","fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,36.1-37.2°C / 97-99°F,"Monitor blood glucose as directed, follow the prescribed meal and medication plan, stay active as advised, and seek care for very high or low glucose or warning symptoms.","fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria"
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,,,,,,,,,36.1-37.2°C / 97-99°F,"Monitor blood glucose as directed, follow the prescribed meal and medication plan, stay active as advised, and seek care for very high or low glucose or warning symptoms.","fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria"
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,,,,,,,,,36.1-37.2°C / 97-99°F,"Monitor blood glucose as directed, follow the prescribed meal and medication plan, stay active as advised, and seek care for very high or low glucose or warning symptoms.","fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria"
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,37.5-39.0°C / 99.5-102.2°F,"Stay hydrated with oral rehydration solutions, eat bland foods as tolerated, and rest. Seek medical care if there is high fever, blood in stool, or signs of dehydration (dizziness, very little urination).","vomiting,sunken_eyes,dehydration,diarrhoea"
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,,37.5-39.0°C / 99.5-102.2°F,"Stay hydrated with oral rehydration solutions, eat bland foods as tolerated, and rest. Seek medical care if there is high fever, blood in stool, or signs of dehydration (dizziness, very little urination).","sunken_eyes,dehydration,diarrhoea"
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,,37.5-39.0°C / 99.5-102.2°F,"Stay hydrated with oral rehydration solutions, eat bland foods as tolerated, and rest. Seek medical care if there is high fever, blood in stool, or signs of dehydration (dizziness, very little urination).","vomiting,dehydration,diarrhoea"
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,,,,,,,,,,,,,,,37.5-39.0°C / 99.5-102.2°F,"Stay hydrated with oral rehydration solutions, eat bland foods as tolerated, and rest. Seek medical care if there is high fever, blood in stool, or signs of dehydration (dizziness, very little urination).","vomiting,sunken_eyes,diarrhoea"
Gastroenteritis,vomiting,sunken_eyes,dehydration,,,,,,,,,,,,,,,37.5-39.0°C / 99.5-102.2°F,"Stay hydrated with oral rehydration solutions, eat bland foods as tolerated, and rest. Seek medical care if there is high fever, blood in stool, or signs of dehydration (dizziness, very little urination).","vomiting,sunken_eyes,dehydration"
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid known triggers (smoke, dust, allergens), use prescribed inhalers as directed, and keep a rescue inhaler accessible. Seek emergency care for severe breathlessness that doesn't improve with medication.","fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid known triggers (smoke, dust, allergens), use prescribed inhalers as directed, and keep a rescue inhaler accessible. Seek emergency care for severe breathlessness that doesn't improve with medication.","cough,high_fever,breathlessness,family_history,mucoid_sputum"
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid known triggers (smoke, dust, allergens), use prescribed inhalers as directed, and keep a rescue inhaler accessible. Seek emergency care for severe breathlessness that doesn't improve with medication.","fatigue,high_fever,breathlessness,family_history,mucoid_sputum"
Bronchial Asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid known triggers (smoke, dust, allergens), use prescribed inhalers as directed, and keep a rescue inhaler accessible. Seek emergency care for severe breathlessness that doesn't improve with medication.","fatigue,cough,breathlessness,family_history,mucoid_sputum"
Bronchial Asthma,fatigue,cough,high_fever,family_history,mucoid_sputum,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid known triggers (smoke, dust, allergens), use prescribed inhalers as directed, and keep a rescue inhaler accessible. Seek emergency care for severe breathlessness that doesn't improve with medication.","fatigue,cough,high_fever,family_history,mucoid_sputum"
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid known triggers (smoke, dust, allergens), use prescribed inhalers as directed, and keep a rescue inhaler accessible. Seek emergency care for severe breathlessness that doesn't improve with medication.","fatigue,cough,high_fever,breathlessness,mucoid_sputum"
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Avoid known triggers (smoke, dust, allergens), use prescribed inhalers as directed, and keep a rescue inhaler accessible. Seek emergency care for severe breathlessness that doesn't improve with medication.","fatigue,cough,high_fever,breathlessness,family_history"
Hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Check blood pressure regularly, take prescribed medicine consistently, limit salt, exercise as advised, and seek urgent care for chest pain, severe headache, weakness, or vision changes.","headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration"
Hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Check blood pressure regularly, take prescribed medicine consistently, limit salt, exercise as advised, and seek urgent care for chest pain, severe headache, weakness, or vision changes.","chest_pain,dizziness,loss_of_balance,lack_of_concentration"
Hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Check blood pressure regularly, take prescribed medicine consistently, limit salt, exercise as advised, and seek urgent care for chest pain, severe headache, weakness, or vision changes.","headache,dizziness,loss_of_balance,lack_of_concentration"
Hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Check blood pressure regularly, take prescribed medicine consistently, limit salt, exercise as advised, and seek urgent care for chest pain, severe headache, weakness, or vision changes.","headache,chest_pain,loss_of_balance,lack_of_concentration"
Hypertension,headache,chest_pain,dizziness,lack_of_concentration,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Check blood pressure regularly, take prescribed medicine consistently, limit salt, exercise as advised, and seek urgent care for chest pain, severe headache, weakness, or vision changes.","headache,chest_pain,dizziness,lack_of_concentration"
Hypertension,headache,chest_pain,dizziness,loss_of_balance,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Check blood pressure regularly, take prescribed medicine consistently, limit salt, exercise as advised, and seek urgent care for chest pain, severe headache, weakness, or vision changes.","headache,chest_pain,dizziness,loss_of_balance"
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid personal triggers (certain foods, stress, lack of sleep). Rest in a quiet, dark room during an attack, stay hydrated, and use prescribed medication. See a doctor if attacks are frequent or severe.","acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid personal triggers (certain foods, stress, lack of sleep). Rest in a quiet, dark room during an attack, stay hydrated, and use prescribed medication. See a doctor if attacks are frequent or severe.","indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid personal triggers (certain foods, stress, lack of sleep). Rest in a quiet, dark room during an attack, stay hydrated, and use prescribed medication. See a doctor if attacks are frequent or severe.","acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid personal triggers (certain foods, stress, lack of sleep). Rest in a quiet, dark room during an attack, stay hydrated, and use prescribed medication. See a doctor if attacks are frequent or severe.","acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Migraine,acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid personal triggers (certain foods, stress, lack of sleep). Rest in a quiet, dark room during an attack, stay hydrated, and use prescribed medication. See a doctor if attacks are frequent or severe.","acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
